start	end	text
0	4040	In the year of elections, two of Europe's three largest economies are heading to the
4040	7840	polls and investors' reactions couldn't be any more different.
7840	12880	France's upcoming parliamentary elections are wreaking havoc on French stocks and bonds,
12880	17720	while UK financial markets have been relatively stable as the country gears up for its own
17720	19800	general election on July 4.
19800	24200	So what are the markets telling us about the political landscape, and are there risks that
24200	25560	are being mispriced?
25560	29400	I think the problem with this and the reason that markets are finding it so difficult to
29400	35280	price is that there's not a clear path to a great outcome for markets.
35280	38280	I'm Alison Nathan and this is Goldman Sachs Exchanges.
46720	50760	For today's episode, I'm sitting down with my colleagues in Goldman Sachs Research.
50760	55160	Sharon Bell is a senior strategist on the European Portfolio Strategy team and George
55160	59960	Cole is the head of European Rate Strategy in the Global Macro and Markets Research Group.
59960	62200	They're both joining me remotely from London.
62200	64360	Sharon, George, welcome back to the program.
64360	65360	Great to see you all.
65360	66360	Thank you.
66360	67360	Thanks very much.
67360	68840	So let's start with the French elections.
68840	73840	The snap election called by French President Emmanuel Macron, which will take place on
73840	78560	June 30 with a second round on July 7, was no doubt a surprise.
78560	83800	And I'm not saying it wasn't, but it sent French assets into an absolute tailspin.
83880	86560	Sharon, why do the markets react so strongly?
86560	88680	You know, I think that there are lots of reasons.
88680	91760	I mean, I probably put them down into four different buckets.
91760	94560	One is the first one, which you've already covered, which was a surprise.
94560	98520	We've had lots of elections this year, but this one wasn't expected, first of all.
98520	103160	Secondly, the outcome of this election looks quite uncertain and markets hate uncertain.
103160	105080	So I think that's important as well.
105080	110040	But probably thirdly and most importantly, the debt situation in France is pretty worrisome
110040	115320	and debt to GDP ratio of over 110% and quite a large deficit as well.
115320	118400	And the concern is that you will see more fiscal slippage.
118400	121960	You will not get a coordinated government that will bring that deficit and debt level
121960	122960	down over time.
122960	124260	So that's a big concern.
124260	129360	And then finally, with my equity hat on, I would say that some of the policies, particularly
129360	133720	the far left and the far right parties in France, would hit company earnings.
133720	136700	Discussions of things like, say, potential windfall taxes, for example.
136700	141180	So there are lots of reasons and really, though, the market hates uncertainty.
141180	145660	And is there an election outcome that the markets are most concerned about?
145660	149500	I think the problem with this and the reason that markets are finding it so difficult to
149500	155160	price is that there's not a clear path to a great outcome for markets.
155160	159820	The one that they would like most of all, I believe, is the status quo we've currently
159820	160820	got.
160820	165740	The current sort of government is planning to reduce the deficit in France.
165780	169540	And we did have eventually debt to GDP in France peaking and coming down.
169540	175580	The other potential outcomes that we might get, for example, a minority far right government
175580	181740	or a majority far right government, either of those are much less likely to bring down
181740	183920	that debt ratio in France.
183920	188140	So there isn't really an outcome that markets are looking at that says, yeah, this is much
188140	189780	better than we expected.
189780	194580	And I think even the outcome that we do get over the next few weeks, if it's a minority
194620	199340	government or no coalition is formed, you might have further elections only a few months
199340	200340	away.
200340	203620	So again, that adds an extra layer of uncertainty for markets.
203620	208340	In the volatility that we've observed so far, which assets have moved the most?
208340	212620	So if I look, and again, I'm going to focus on equities here, and George can talk a bit
212620	213620	more about rates.
213620	218780	But if I look at the French equity market overall, the gains that we saw this year were
218780	222100	wiped out, really in very little time.
222140	226660	We've seen double digit falls for things like the French small cap indices, domestic stocks
226660	231500	in France, banks, and we've also seen sharp falls of infrastructure companies, which tend
231500	233740	to be quite defensive stocks in France too.
233740	238300	I mean, European equities, they have had a bit of a setback and particularly relative
238300	239300	to the S&P.
239300	244300	So if I look relative to the S&P 500, the stock 600, which is a broad measure of the
244300	249620	European market, that's down 5% relative to the US market in the last couple of weeks.
249620	252460	The impact on global equities though has been quite tiny.
252460	258340	So I do think this is seen as more a French issue first, and then a European issue second.
258340	263100	Well, as you said, though, the European equities have been hit a bit.
263100	267820	Do you think the markets broadly are overreacting when you think about the moves we've seen
267820	271540	in European equities and then even in French equities?
